"department","class number","dept and classnumber combined","course name","description","prerequisites classes"
"CSE","003","CSE-003","Fluency in Information Technology","Introduces the concepts and skills necessary to effectively use information technology. Includes basic concepts and some practical skills with computer and networks.","none"
"CSE","004GS","CSE-004GS","Mathematical Beauty in Rome","Exploration of topics in mathematics and engineering as they relate to classical architecture in Rome, Italy. In depth geometrical analysis and computer modeling of basic structures (arches, vaults, domes), and on-site studies of the Colosseum, Pantheon, Roman Forum, and St. Peters Basilica.","MATH 10A or MATH 20A, CSE 6GS"
"CSE","005","CSE-005","Principles and Practice of Artificial Intelligence","This course introduces students to the conceptual and technological foundations of artificial intelligence (AI) and provides a framework to understand and assess social and ethical aspects of AI. The course will explore the computational basis of intelligence—machine learning (ML) and its various approaches. Students will be exposed to building ML models, training and validating them. The course will delve into how AI is applied and discuss its implications.","none"
"CSE","005R","CSE-005R","Principles and Practice of Artificial Intelligence","This course introduces students to the conceptual and technological foundations of artificial intelligence (AI) and provides a framework to understand and assess social and ethical aspects of AI. The course will explore the computational basis of intelligence—machine learning (ML) and its various approaches. Students will be exposed to building ML models, training and validating them. The course will delve into how AI is applied and discuss its implications.","none"
"CSE","006GS","CSE-006GS","Mathematical Beauty in Rome Lab","Companion course to CSE 4GS where theory is applied and lab experiments are carried out in the field in Rome, Italy. For final projects, students will select a complex structure (e.g., the Colosseum, the Pantheon, St. Peter's, etc.) to analyze and model, in detail, using computer-based tools.","MATH 10A or MATH 20A, CSE 4GS"
"CSE","006R","CSE-006R","Introduction to Computer Science and Object-Oriented Programming: Python","An introduction to computer science and programming using the Python language. The course will cover topics such as basic data types (e.g., integer, float, string), loops and iteration, basic data structures (e.g., list, set, dictionary), memory models, conditional statements, recursion, basic algorithm time complexity analysis, class design, and inheritance. A student may not receive credit for CSE 6R after receiving credit for CSE 8A, CSE 8B, CSE 11, or COGS 18. Students may receive credit for only one of the following: COGS 18, CSE 8A, or CSE 6R. Recommended preparation: a familiarity with high school-level algebra is expected, but this course assumes no prior programming knowledge or experience.","none"
"CSE","008A","CSE-008A","Introduction to Programming and Computational Problem-Solving I","Introductory course for students interested in computer science and programming. Basics of programming including variables, conditionals, loops, functions/methods. Structured data storage such as arrays/lists and dictionaries, including data mutation. Hands-on experience with designing, writing, hand-tracing, compiling or interpreting, executing, testing, and debugging programs. Students solve relevant computational problems using a high-level programming language. CSE 8A is part of a two-course sequence (CSE 8A-B) that is equivalent to CSE 11. Students should take CSE 8B to complete the CSE 8A/CSE 8B track. Students who have taken CSE 8B or CSE 11 may not take or receive credit for CSE 8A. Students may receive credit for one of the following: COGS 18, CSE 8A, or CSE 6R. Recommended preparation: No prior programming experience is assumed, but comfort using computers is helpful. Students should consult the “CSE Course Placement Advice” web page for assistance in choosing which CSE course to take first.","none"
"CSE","011","CSE-011","Introduction to Programming and Computational Problem-Solving: Accelerated Pace","Accelerated introductory programming including an object-oriented approach. Covers basic programming topics from CSE 8A including variables, conditionals, loops, functions/methods, structured data storage, and mutation. Also covers topics from CSE 8B including the Java programming language, class design, interfaces, basic class hierarchies, recursion, event-based programming, and file I/O. Basics of command-line navigation for file management and running programs. Zero units of credit offered for CSE 11 if CSE 8B taken previously or concurrently. Recommended preparation: Significant prior programming experience (for example, high school AP CSA). Students should consult the “CSE Course Placement Advice” web page for assistance in choosing a first CSE course.","none"
"CSE","012","CSE-012","Basic Data Structures and Object-Oriented Design","Use and implementation of basic data structures including linked lists, stacks, and queues. Use of advanced structures such as binary trees and hash tables. Object-oriented design including interfaces, polymorphism, encapsulation, abstract data types, pre-/post-conditions. Recursion. Uses Java and Java Collections.","CSE 8B or CSE 11"
"CSE","015L","CSE-015L","Software Tools and Techniques Laboratory","Hands-on exploration of software development tools and techniques. Investigation of the scientific process as applied to software development and debugging. Emphasis is on weekly hands-on laboratory experiences, development of laboratory notebooking techniques as applied to software design.","CSE 8B or CSE 11 or CSE 12 or DSC 30"
"CSE","020","CSE-020","Discrete Mathematics","This course will introduce the ways logic is used in computer science: for reasoning, as a language for specifications, and as operations in computation. Concepts include sets, relations, functions, equivalence relations, partial orders, number systems, and proof methods (especially induction and recursion). Propositional and predicate logic will be introduced and applied to various computer science domains such as circuit design, databases, cryptography, and program correctness. Students who have completed MATH 109 may not receive credit for CSE 20. Credit not offered for both MATH 15A and CSE 20. Equivalent to MATH 15A.","CSE 11 or CSE 6R or CSE 8A or CSE 8B or ECE 15"
"CSE","021","CSE-021","Mathematics for Algorithms and Systems","This course will cover mathematical concepts used to model and analyze algorithms and computer systems. Topics include counting techniques (inclusion-exclusion; recursive counting; permutations and combinations), data representations, analysis of algorithms (order notation; time complexities; loop invariants), recurrence relations, graphs and trees (data structure representations; basic graph algorithms; special classes of graphs), and basic probability and its applications.","CSE 20 or MATH 15A or MATH 31CH"
"CSE","025","CSE-025","Introduction to Artificial Intelligence","This course provides a first introduction to artificial intelligence (AI). It covers the definition of AI, the history of AI, the main approaches to AI, and example applications of AI and machine learning (ML). Concepts will be grounded in a range of real-world application projects in AI. Students will also be introduced to ethical issues around AI.","COGS 18 or CSE 11 or CSE 6R or CSE 8A or CSE 8B or DSC 20"
"CSE","029","CSE-029","Systems Programming and Software Tools","A programmer's view of how computer systems execute programs, store information, and communicate. Emphasis on understanding the details of how a single computer program executes on a computer. Hands-on systems programming using the C programming language and software tools (e.g., gdb, valgrind, make) in the UNIX environment. Builds foundation for courses on computer organization, operating systems, networks, and compilers.","CSE 11 or CSE 8B or ECE 15"
"CSE","030","CSE-030","Computer Organization","Introduction to organization of modern digital computers. Students learn how to write programs in assembly, design basic processors capable of executing the assembly programs, and how to build the basic components of processors using digital logic. Topics include assembly programming, combinational and sequential logic, processor performance, processor design, and the memory hierarchy.","CSE 15L or CSE 29 or ECE 15"
"CSE","042","CSE-042","Building and Programming Electronic Devices","This course allows students to use what they learned in introductory programming courses to make things happen in the real world. Working in teams, students will first learn to program Arduino-based devices. Teams of students will design a custom device and program it to do their bidding. This course is targeted to first-year students and sophomores in engineering and science disciplines who want to practice applying what they have learned in a programming class and to have the chance to program things other than computers. Program or materials fees may apply.","none"
